t,x,y,v_x,v_y
0,0,-2,0.0517962,0
8.11832,0.420478,-2,0.0517913,-9.96749e-08
16.2366,0.840916,-2,0.0517863,-2.0062e-07
24.355,1.26131,-2,0.0517812,-3.02857e-07
32.3792,1.6768,-2.00001,0.0517762,-4.05199e-07
40.4034,2.09224,-2.00001,0.0517711,-5.08847e-07
48.4276,2.50764,-2.00001,0.0517659,-6.13822e-07
56.3518,2.91782,-2.00002,0.0517608,-7.18814e-07
64.276,3.32797,-2.00003,0.0517557,-8.25145e-07
72.2002,3.73807,-2.00003,0.0517505,-9.32838e-07
80.0121,4.14232,-2.00004,0.0517453,-1.04036e-06
87.8239,4.54652,-2.00005,0.0517401,-1.14925e-06
95.6357,4.95068,-2.00006,0.0517349,-1.25953e-06
103.448,5.35481,-2.00007,0.0517296,-1.37123e-06
111.155,5.7535,-2.00008,0.0517243,-1.48285e-06
118.863,6.15216,-2.00009,0.051719,-1.59589e-06
126.571,6.55077,-2.0001,0.0517136,-1.71039e-06
134.162,6.94335,-2.00012,0.0517083,-1.8246e-06
141.754,7.33589,-2.00013,0.0517029,-1.94027e-06
149.346,7.72839,-2.00015,0.0516975,-2.05742e-06
156.938,8.12085,-2.00016,0.0516921,-2.17607e-06
164.409,8.50703,-2.00018,0.0516866,-2.29433e-06
171.88,8.89317,-2.0002,0.0516812,-2.4141e-06
179.351,9.27926,-2.00022,0.0516757,-2.5354e-06
186.723,9.66018,-2.00024,0.0516702,-2.65662e-06
194.095,10.041,-2.00026,0.0516646,-2.77937e-06
201.466,10.4219,-2.00028,0.0516591,-2.9037e-06
208.74,10.7976,-2.0003,0.0516535,-3.02794e-06
216.013,11.1733,-2.00032,0.0516479,-3.15375e-06
223.286,11.5489,-2.00034,0.0516423,-3.28117e-06
230.56,11.9245,-2.00037,0.0516366,-3.41023e-06
237.711,12.2938,-2.00039,0.0516309,-3.53874e-06
244.863,12.663,-2.00042,0.0516252,-3.6689e-06
252.015,13.0322,-2.00045,0.0516195,-3.80071e-06
259.166,13.4013,-2.00047,0.0516137,-3.93421e-06
