t,x,y,v_x,v_y
0,0,4,0.0517962,0
8.05069,0.416976,4,0.0517913,1.97322e-07
16.1014,0.833912,4,0.0517864,3.97135e-07
24.1521,1.25081,4.00001,0.0517814,5.99479e-07
32.1094,1.66283,4.00001,0.0517764,8.02008e-07
40.0668,2.07481,4.00002,0.0517713,1.00709e-06
48.0242,2.48676,4.00003,0.0517663,1.21478e-06
55.8893,2.89389,4.00004,0.0517612,1.42266e-06
63.7544,3.30097,4.00005,0.0517561,1.63317e-06
71.6195,3.70802,4.00006,0.051751,1.84634e-06
79.3866,4.10996,4.00008,0.0517458,2.05953e-06
87.1538,4.51185,4.0001,0.0517407,2.27541e-06
94.9209,4.91371,4.00012,0.0517355,2.49403e-06
102.578,5.30982,4.00014,0.0517303,2.71228e-06
110.235,5.7059,4.00016,0.0517251,2.93327e-06
117.892,6.10193,4.00018,0.0517198,3.15707e-06
125.467,6.49369,4.00021,0.0517146,3.38127e-06
133.041,6.8854,4.00023,0.0517093,3.60829e-06
140.616,7.27707,4.00026,0.0517039,3.8382e-06
148.084,7.66314,4.00029,0.0516986,4.06771e-06
155.551,8.04918,4.00032,0.0516933,4.30012e-06
163.018,8.43517,4.00035,0.0516879,4.53547e-06
170.406,8.81699,4.00039,0.0516825,4.77124e-06
177.793,9.19876,4.00042,0.051677,5.00998e-06
185.181,9.5805,4.00046,0.0516716,5.25175e-06
192.476,9.95744,4.0005,0.0516661,5.49353e-06
199.771,10.3343,4.00054,0.0516606,5.73836e-06
207.067,10.7112,4.00058,0.0516551,5.98629e-06
214.246,11.082,4.00063,0.0516496,6.23337e-06
221.425,11.4528,4.00067,0.051644,6.48355e-06
228.605,11.8236,4.00072,0.0516384,6.73689e-06
235.707,12.1903,4.00077,0.0516328,6.99068e-06
242.81,12.557,4.00082,0.0516272,7.24766e-06
249.912,12.9237,4.00087,0.0516215,7.50789e-06
257.014,13.2903,4.00093,0.0516158,7.77142e-06
264.016,13.6517,4.00098,0.0516101,8.03451e-06
271.018,14.013,4.00104,0.0516044,8.30092e-06
278.019,14.3743,4.0011,0.0515986,8.5707e-06
284.934,14.7311,4.00116,0.0515928,8.84049e-06
291.848,15.0878,4.00122,0.051587,9.11368e-06
298.763,15.4444,4.00129,0.0515812,9.39034e-06
305.591,15.7966,4.00135,0.0515753,9.667e-06
312.419,16.1488,4.00142,0.0515695,9.94715e-06
319.248,16.5009,4.00149,0.0515635,1.02309e-05
326.076,16.853,4.00156,0.0515575,1.05182e-05
332.796,17.1994,4.00163,0.0515516,1.08045e-05
339.443,17.5421,4.0017,0.0515457,1.10913e-05
346.091,17.8847,4.00178,0.0515397,1.13817e-05
352.739,18.2273,4.00185,0.0515337,1.16758e-05
359.387,18.5699,4.00193,0.0515276,1.19735e-05
365.963,18.9087,4.00201,0.0515216,1.22718e-05
372.539,19.2476,4.00209,0.0515154,1.25739e-05
379.045,19.5827,4.00218,0.0515094,1.28765e-05
385.551,19.9178,4.00226,0.0515032,1.31829e-05
391.988,20.2493,4.00235,0.0514971,1.34898e-05
398.424,20.5807,4.00243,0.0514909,1.38005e-05
404.86,20.9121,4.00252,0.0514847,1.41152e-05
411.296,21.2434,4.00262,0.0514784,1.44339e-05
417.664,21.5712,4.00271,0.0514721,1.47531e-05
424.031,21.8989,4.0028,0.0514658,1.50763e-05
